Zona,Bairro
001,CENTRO
001,TAMBIÁ
001,ROGER
001,TORRE
001,EXPEDICIONARIOS
001,ESTADOS
001,CONJUNTO PEDRO GONDIM
001,MANDACARU
001,IPES
001,TREZE DE MAIO
001,PADRE ZE
001,JARDIM LUNA
001,JOAO AGRIPINO
001,TAMBAUZINHO
001,CASTELO BRANCO I
001,CASTELO BRANCO
001,MIRAMAR
064,JAGUARIBE
064,CRISTO REDENTOR
064,RANGEL
064,CRUZ DAS ARMAS
064,ILHA DO BISPO
064,ERNESTO GEISEL
070,MANGABEIRA I
070,MANGABEIRA II
070,JOSE AMERICO DE ALMEIDA
070,VALENTINA FIGUEIREDO I
070,VALENTINA II
070,MANGABEIRA VIII
070,MANGABEIRA IV
070,MANGABEIRA VII
070,MANGABEIRA VI
070,VALENTINA FIGUEIREDO
076,BESSA
076,MANAIRA
076,TAMBAU
076,ALTIPLANO CABO BRANCO
076,BANCARIOS
076,PENHA
076,CABO BRANCO
076,JARDIM CIDADE UNIVERSITARIA
077,ALTO DO MATEUS
077,NOVAIS
077,FUNCIONARIOS I
077,JARDIM PLANALTO
077,ESPLANADA I
077,COSTA E SILVA
077,INDUSTRIAS
077,ERNANI SATIRO
077,JARDIM VENEZA
077,JOAO PAULO II
077,GROTAO
077,CONJUNTO JOSE VIEIRA DINIZ
077,FUNCIONARIOS II
077,GRAMAME
077,PARATIBE
077,MUÇUMAGO
